time,station,average_waiting_time
16-17,Kromme.Rijn,20.9098910167813
17-18,Kromme.Rijn,8.31622109748423
18-19,Kromme.Rijn,6.8148250784725
19-20,Kromme.Rijn,5.1068801432848
20-21,Kromme.Rijn,31.0611458029598
21-22,Kromme.Rijn,21.6771182790399
6-7,Galgenwaard,10.6843919400126
7-8,Galgenwaard,28.1243247073144
8-9,Galgenwaard,12.2572363261133
9-10,Galgenwaard,38.0978848319501
10-11,Galgenwaard,28.813542611897
11-12,Galgenwaard,23.9792336244136
12-13,Galgenwaard,18.8665757048875
13-14,Galgenwaard,10.4705480393022
14-15,Galgenwaard,2.86856963299215
15-16,Galgenwaard,35.0034729670733
16-17,Galgenwaard,17.729823552072
17-18,Galgenwaard,26.4961656648666
18-19,Galgenwaard,20.2385872043669
19-20,Galgenwaard,17.9525997769088
20-21,Galgenwaard,15.8375620655715
21-22,Galgenwaard,20.2501939609647
6-7,Vaartsche.Rijn,38.4457099623978
7-8,Vaartsche.Rijn,15.3856332972646
8-9,Vaartsche.Rijn,6.04144587181509
9-10,Vaartsche.Rijn,35.1571662258357
10-11,Vaartsche.Rijn,21.8219385575503
11-12,Vaartsche.Rijn,2.87836006842554
12-13,Vaartsche.Rijn,37.9668664745986
13-14,Vaartsche.Rijn,30.6447114981711
14-15,Vaartsche.Rijn,20.3303524851799
15-16,Vaartsche.Rijn,25.127476491034
16-17,Vaartsche.Rijn,14.366161217913
17-18,Vaartsche.Rijn,22.1041292790323
18-19,Vaartsche.Rijn,35.9443516097963
19-20,Vaartsche.Rijn,29.2775444779545
20-21,Vaartsche.Rijn,38.9518543239683
21-22,Vaartsche.Rijn,11.070465054363
6-7,Centraal.Station,6.686274940148
7-8,Centraal.Station,14.4296696502715
8-9,Centraal.Station,33.8966069277376
9-10,Centraal.Station,19.6531858853996
10-11,Centraal.Station,16.4123365748674
11-12,Centraal.Station,15.809624446556
12-13,Centraal.Station,9.5275519695133
13-14,Centraal.Station,27.6371830236167
14-15,Centraal.Station,2.3911786172539
15-16,Centraal.Station,17.1506385412067
16-17,Centraal.Station,2.20069461502135
17-18,Centraal.Station,11.8931147176772
18-19,Centraal.Station,38.4822084289044
19-20,Centraal.Station,31.6228862851858
20-21,Centraal.Station,0.988569417968392
21-22,Centraal.Station,30.4448367469013
